"Seq ID","Seq Description","GO ID","HUBGENE"
"ppt_12942","N1QRF5tr=Uncharacterized protein  Aegilops tauschii (Tausch's goatgrass) (Aegilops squarrosa)","GO:0006355, GO:0006508, GO:0003677, GO:0003700, GO:0008234, GO:0043565, GO:0005634","NO-H"
"ppt_14370","G3BGV1tr=TCP transcription factor 11  Solanum lycopersicum (Tomato) (Lycopersicon esculentum)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_14790","Q6J9Q2sp=Ethylene-responsive transcription factor ERF086 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009873, GO:0010102, GO:0010432, GO:0010451, GO:0010582, GO:1901332, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_15978","Q8L467sp=Transcription factor bHLH104 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010030, GO:0019760, GO:0071333, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_16486","A0A1D1ZID2tr=Transcription factor steA  Anthurium amnicola","GO:0006355, GO:0003676, GO:0003700, GO:0005634","NO-H"
"ppt_16597","A0A199W690tr=Ethylene-responsive transcription factor 2  Ananas comosus (Pineapple) (Ananas ananas)","GO:0006355, GO:0003677, GO:0003700, GO:0005634, GO:0016021","NO-H"
"ppt_16867","Q9FKL2sp=Transcription factor MYB36  Arabidopsis thaliana (Mouse-ear cress)","GO:0008285, GO:0030154, GO:0035987, GO:0045597, GO:0045892, GO:0045893, GO:0050801, GO:2000067, GO:0000976, GO:0003677, GO:0003700, GO:0043565, GO:0005634, GO:0048226","NO-H"
"ppt_17113","Q39266sp=Zinc finger protein 7 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009788, GO:0010582, GO:0019760, GO:0042752, GO:0048579, GO:0060862, GO:0003677, GO:0003700, GO:0046982, GO:0005634","NO-H"
"ppt_17461","A0A023ZYJ7tr=Ethylene responsive factor 1-like protein  Pinus massoniana","GO:0006355, GO:0006952, GO:0009624, GO:0009873, GO:0010087, GO:0010200, GO:0051301, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_17706","Q9SZ70sp=AT-hook motif nuclear-localized protein 26  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010228, GO:0003680, GO:0003700, GO:0005634","NO-H"
"ppt_17755","EnsemblPlants:Zm00001d012404_T001} Zea mays (Maize)","GO:0006355, GO:0003700, GO:0003712, GO:0043565, GO:0005634","NO-H"
"ppt_19233","Q9LYP5sp=Putative two-component response regulator ARR21 Arabidopsis thaliana (Mouse-ear cress)","GO:0000160, GO:0006355, GO:0007165, GO:0009736, GO:0003677, GO:0003700, GO:0005634, GO:0009507, GO:0009536","NO-H"
"ppt_19259","A0A0M0J9F0tr=ATP-dependent DNA helicase  Chrysochromulina sp. CCMP291","GO:0006355, GO:0000976, GO:0003700, GO:0004386","NO-H"
"ppt_21760","Q84W66sp=Nuclear transcription factor Y subunit B-6 Arabidopsis thaliana (Mouse-ear cress)","GO:0009738, GO:0009785, GO:0010262, GO:0019760, GO:0040029, GO:0045723, GO:0045893, GO:0048574, GO:0003682, GO:0003700, GO:0003712, GO:0033613, GO:0043565, GO:0046982, GO:0005634, GO:0005737","NO-H"
"ppt_22116","A8JGY7tr=Predicted protein  Chlamydomonas reinhardtii (Chlamydomonas smithii)","GO:0006355, GO:0055114, GO:0003700, GO:0016491, GO:0051537","NO-H"
"ppt_22542","EnsemblProtists:EOD06549} Emiliania huxleyi (Pontosphaera huxleyi)","GO:0006355, GO:0003677, GO:0003700, GO:0046983, GO:0005634, GO:0005667","NO-H"
"ppt_22940","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:0045824, GO:1900111, GO:1900425, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_23113","Q5Z5I4sp=Probable transcription factor GLK1 Oryza sativa subsp. japonica (Rice)","GO:0010638, GO:0045893, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_24068","A5AX95tr=Putative uncharacterized protein  Vitis vinifera (Grape)","GO:0006355, GO:0009409, GO:0010150, GO:0042742, GO:0050832, GO:0070417, GO:0106167, GO:1900367, GO:0003700, GO:0005516, GO:0043565, GO:0005634","NO-H"
"ppt_24769","A8JGY7tr=Predicted protein  Chlamydomonas reinhardtii (Chlamydomonas smithii)","GO:0006355, GO:0055114, GO:0003700, GO:0016491, GO:0051537","NO-H"
"ppt_27135","A0A0B0NHE9tr=Pumilio 2  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006355, GO:0009909, GO:0042753, GO:0003677, GO:0003700, GO:0003723, GO:0005634","NO-H"
"ppt_27474","A0A0C9RG19tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_28886_1658 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0003677, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_27879","Isoform2 of Protein RADIALIS-like 1 OS=Arabidopsis thaliana GN=RL1","GO:0009908, GO:0048262, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_28328","A0A078CL09tr=BnaA07g06980D protein  Brassica napus (Rape)","GO:0006352, GO:0006355, GO:0003700","NO-H"
"ppt_29441","A0A072URN4tr=Myb transcription factor  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_29442","A0A0A8WJ38tr=Transcription factor MYB 12  Fragaria vesca (Woodland strawberry) (Potentilla vesca)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_29801","Q9FX53sp=Trihelix transcription factor GT-1 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0003700, GO:0042802, GO:0043565, GO:0005634","NO-H"
"ppt_29975","A0A1D1XF43tr=Nuclear transcription factor Y subunit A-3  Anthurium amnicola","GO:0006355, GO:0000978, GO:0003700, GO:0005634","NO-H"
"ppt_30438","P92948sp=Cell division cycle 5-like protein Arabidopsis thaliana (Mouse-ear cress)","GO:0006281, GO:0006355, GO:0006397, GO:0007049, GO:0008380, GO:0009870, GO:0042742, GO:0050832, GO:0051301, GO:0003677, GO:0003700, GO:0005515, GO:0005681","NO-H"
"ppt_31677","A0A0D3AFH6tr=Uncharacterized protein  Brassica oleracea var. oleracea","GO:0000398, GO:0000956, GO:0006298, GO:0006310, GO:0006355, GO:0006772, GO:0009229, GO:0009555, GO:0010150, GO:0030163, GO:0042742, GO:0048316, GO:0050832, GO:0051016, GO:0070417, GO:0106167, GO:1900367, GO:0003700, GO:0003779, GO:0004788, GO:0005516, GO:0005524, GO:0016787, GO:0030975, GO:0030983, GO:0043565, GO:0005634, GO:0005737, GO:0008290","NO-H"
"ppt_32717","K8EMB3tr=  Zinc finger protein 271 (Zinc finger protein 7) (HZF7) (Zinc finger protein ZNFphex133) (Epstein-Barr virus-induced zinc finger protein) (ZNF-EB) (CT-ZFP48) (Zinc finger protein)  Bathycoccus prasinos","GO:0006355, GO:0003676, GO:0003700, GO:0005634","NO-H"
"ppt_33716","E4W696tr=Transcription factor MYB047  Glycine max (Soybean) (Glycine hispida)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_34672","Q8LBQ7sp=Ethylene-responsive transcription factor ERF034 Arabidopsis thaliana (Mouse-ear cress)","GO:0003700, GO:0005515","NO-H"
"ppt_35091","A0A0B2PZM7tr=AP2-like ethylene-responsive transcription factor BBM  Glycine soja (Wild soybean)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_35354","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:0045824, GO:1900111, GO:1900425, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_35355","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:0045824, GO:1900111, GO:1900425, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_35356","Q9SJG4sp=AT-hook motif nuclear-localized protein 16  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:0045824, GO:1900111, GO:1900425, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_35358","Q9SZ70sp=AT-hook motif nuclear-localized protein 26  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0010208, GO:0010228, GO:0010529, GO:0035067, GO:1900111, GO:0003680, GO:0003700, GO:0005515, GO:0031490, GO:0005634","NO-H"
"ppt_35879","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_35880","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_35881","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_35882","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_35883","A5JYE8tr=R2R3-MYB transcription factor MYB4  Picea glauca (White spruce) (Pinus glauca)","GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_35980","Q9SJW0sp=Myb family transcription factor PHL7  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0007623, GO:0009555, GO:0016036, GO:0055063, GO:0071486, GO:0003677, GO:0003700, GO:0005634, GO:0016021","NO-H"
"ppt_35981","Q9SJW0sp=Myb family transcription factor PHL7  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0007623, GO:0009555, GO:0016036, GO:0055063, GO:0071486, GO:0003677, GO:0003700, GO:0005634, GO:0016021","NO-H"
"ppt_35982","Q8GXC2sp=Myb family transcription factor PHL4  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0007623, GO:0009555, GO:0016036, GO:0055063, GO:0071486, GO:0003677, GO:0003700, GO:0005634, GO:0016021","NO-H"
"ppt_36752","A0A0C9S879tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5460_974 transcribed RNA sequence  Wollemia nobilis","GO:0045893, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_36753","A0A0C9S879tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5460_974 transcribed RNA sequence  Wollemia nobilis","GO:0045893, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_36754","A0A0C9S879tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5460_974 transcribed RNA sequence  Wollemia nobilis","GO:0045893, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_36755","A0A0C9S879tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5460_974 transcribed RNA sequence  Wollemia nobilis","GO:0045893, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_36756","A0A0C9S879tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_5460_974 transcribed RNA sequence  Wollemia nobilis","GO:0045893, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_36757","Q7XC57tr=Myb transcription factor  Oryza sativa subsp. japonica (Rice)","GO:0000122, GO:0009646, GO:0009723, GO:0009733, GO:0009737, GO:0009739, GO:0009744, GO:0010150, GO:0010252, GO:0030307, GO:0048527, GO:0090697, GO:2000469, GO:0000976, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_36759","Q9LVS0tr=MYB transcription factor  Arabidopsis thaliana (Mouse-ear cress)","GO:0000122, GO:0009646, GO:0009723, GO:0009733, GO:0009737, GO:0009739, GO:0009744, GO:0010150, GO:0010252, GO:0030307, GO:0048527, GO:0090697, GO:2000469, GO:0000976, GO:0003700, GO:0005515, GO:0008270, GO:0005634","NO-H"
"ppt_36760","Q7XC57tr=Myb transcription factor  Oryza sativa subsp. japonica (Rice)","GO:0000122, GO:0009646, GO:0009723, GO:0009733, GO:0009737, GO:0009739, GO:0009744, GO:0010150, GO:0010252, GO:0030307, GO:0048527, GO:0090697, GO:2000469, GO:0000976, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_36761","Q7XC57tr=Myb transcription factor  Oryza sativa subsp. japonica (Rice)","GO:0009739, GO:0009744, GO:0045892, GO:0099402, GO:0003700, GO:0005488, GO:0005634","NO-H"
"ppt_36762","Q7XC57tr=Myb transcription factor  Oryza sativa subsp. japonica (Rice)","GO:0000122, GO:0009646, GO:0009723, GO:0009733, GO:0009737, GO:0009739, GO:0009744, GO:0010150, GO:0010252, GO:0030307, GO:0048527, GO:0090697, GO:2000469, GO:0000976, GO:0003700, GO:0005515, GO:0005634","NO-H"
"ppt_37580","A0A0C9QUV9tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_7873_1747 transcribed RNA sequence  Wollemia nobilis","GO:0006355, GO:0007623, GO:0009733, GO:0009736, GO:0009910, GO:0009938, GO:0010151, GO:0010187, GO:0010255, GO:0043610, GO:0080050, GO:0090693, GO:1902326, GO:2000028, GO:0003700, GO:0005515, GO:0008270, GO:0016788, GO:0043565, GO:0005634","NO-H"
"ppt_37662","A0A0C9RG19tr=TSA: Wollemia nobilis Ref_Wollemi_Transcript_28886_1658 transcribed RNA sequence  Wollemia nobilis","GO:0002237, GO:0009611, GO:0009751, GO:0010200, GO:0031347, GO:0042742, GO:0045892, GO:0050832, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_37708","Q9ZVP8sp=NAC domain-containing protein 35  Arabidopsis thaliana (Mouse-ear cress)","GO:0003700","NO-H"
"ppt_37709","Q9ZVP8sp=NAC domain-containing protein 35  Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009908, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_38082","I3SZ77tr=Uncharacterized protein  Lotus japonicus (Lotus corniculatus var. japonicus)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_38083","G7KSW4tr=Ethylene response factor  Medicago truncatula (Barrel medic) (Medicago tribuloides)","GO:0006355, GO:0003677, GO:0003700, GO:0005634","NO-H"
"ppt_38222","Isoform2 of Protein PHR1-LIKE 3 OS=Arabidopsis thaliana GN=PHL3","GO:0009567, GO:0010088, GO:0010089, GO:0016036, GO:0045893, GO:0003700, GO:0005515, GO:0043565, GO:0005634","NO-H"
"ppt_38378","A0A0B0MQF0tr=Transcription factor-like protein DPB  Gossypium arboreum (Tree cotton) (Gossypium nanking)","GO:0006357, GO:0051726, GO:0003677, GO:0003700, GO:0005634, GO:0005667","NO-H"
"ppt_38471","W9SP46tr=Transcription factor ORG2  Morus notabilis","GO:0006357, GO:0000977, GO:0003700, GO:0008134, GO:0090575","NO-H"
"ppt_38472","W9SP46tr=Transcription factor ORG2  Morus notabilis","GO:0006357, GO:0055072, GO:0000977, GO:0003700, GO:0008134, GO:0090575","NO-H"
"ppt_38745","Q9FGJ3sp=Nuclear transcription factor Y subunit B-2 Arabidopsis thaliana (Mouse-ear cress)","GO:0006355, GO:0009908, GO:0040008, GO:0045893, GO:0048574, GO:0048579, GO:0051512, GO:0000976, GO:0003677, GO:0003700, GO:0003712, GO:0005515, GO:0043565, GO:0046982, GO:0005634, GO:0005737, GO:0005829, GO:0009536","NO-H"
"ppt_38878","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38880","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38881","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38882","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38883","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38884","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38885","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38886","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_38887","A0A0M3R802tr=WRKY11 transcription factor  Ginkgo biloba (Ginkgo) (Maidenhair tree)","GO:0006355, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_39474","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39475","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0007017, GO:0007049, GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0005874, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39476","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0007017, GO:0007049, GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0005874, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39477","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0007017, GO:0007049, GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0005874, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39478","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0007017, GO:0007049, GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0005874, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39479","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39480","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_39481","B3U2B5tr=Abscisic acid insensitive  Cucumis sativus (Cucumber)","GO:0007017, GO:0007049, GO:0009637, GO:0009737, GO:0009902, GO:0010020, GO:0045893, GO:0051301, GO:0003700, GO:0003924, GO:0005525, GO:0042802, GO:0043621, GO:0005634, GO:0005874, GO:0009535, GO:0009570, GO:0032153","NO-H"
"ppt_41006","A0A167V901tr=Transcription factor MYB30  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_41007","A0A167V8X0tr=Transcription factor MYB29  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_41008","A0A167V8X0tr=Transcription factor MYB29  Picea abies (Norway spruce) (Picea excelsa)","GO:0006355, GO:0030154, GO:0003700, GO:0043565, GO:0005634","NO-H"
"ppt_41009","A0A1B4Z1R7tr=Myb domain protein 33-like protein  Marchantia polymorpha (Liverwort) (Marchantia aquatica)","GO:0006355, GO:0030154, GO:0003700, GO:0003824, GO:0043565, GO:0005634","NO-H"
"ppt_41039","T2B8A7tr=Dof2  Pinus pinaster (Maritime pine)","GO:0006355, GO:0003677, GO:0003700, GO:0005515, GO:0046872, GO:0005634, GO:0016021","NO-H"
"ppt_41435","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0071522, GO:0005737","NO-H"
"ppt_41440","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41441","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41442","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41443","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41446","W9SEC5sp=Polyadenylate-binding protein  Morus notabilis","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0005488, GO:0071522, GO:0005737","NO-H"
"ppt_41447","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41448","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41449","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41451","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
"ppt_41452","Q8GXV5sp=(S)-ureidoglycine aminohydrolase Arabidopsis thaliana (Mouse-ear cress)","GO:0000256, GO:0006145, GO:0006355, GO:0010136, GO:0003700, GO:0046872, GO:0071522, GO:0005783","NO-H"
